ood,test,resnet,10,pxy_grad,0.644
ood,test,resnet,10,py_grad,0.162
ood,test,resnet,10,svm_cal,0.685
ood,test,mlp,10,pxy,0.134
ood,test,mlp,10,px,0.111
ood,test,mlp,10,py,0.191
ood,test,mlp,10,px_grad,0.907
ood,test,mlp,10,pxy_grad,0.759
ood,test,mlp,10,py_grad,0.191
ood,test,mlp,10,svm_cal,0.685
